cal BP,Posterior probability
-1230,7.901016070666688E-6
-1220,0.0
-1210,7.901016070666688E-6
-1200,0.0
-1190,0.0
-1180,0.0
-1170,0.0
-1160,7.901016070666688E-6
-1150,0.0
-1140,7.901016070666688E-6
-1130,1.5802032141333376E-5
-1120,2.3703048212000063E-5
-1110,3.160406428266675E-5
-1100,4.7406096424000125E-5
-1090,3.950508035333344E-5
-1080,7.110914463600018E-5
-1070,9.481219284800025E-5
-1060,8.691117677733357E-5
-1050,6.32081285653335E-5
-1040,1.4221828927200037E-4
-1030,1.8172336962533382E-4
-1020,2.52832514261334E-4
-1010,3.3184267496800087E-4
-1000,3.0023861068533415E-4
-990,3.871497874626677E-4
-980,6.478833177946684E-4
-970,5.451701088760014E-4
-960,6.557843338653351E-4
-950,9.08616848126669E-4
-940,0.0011298452981053364
-930,0.0012562615552360033
-920,0.0013510737480840035
-910,0.001493292037356004
-900,0.0014221828927200037
-890,0.001991056049808005
-880,0.0021095712908680057
-870,0.002307096692634673
-860,0.0027258505443800074
-850,0.003310525733609342
-840,0.0037529826335666767
-830,0.004084825308534677
-820,0.004566787288845345
-810,0.005017145204873346
-800,0.0058388508762226825
-790,0.006589447402936018
-780,0.007640282540334687
-770,0.008620008533097356
-760,0.00975775484727336
-750,0.01125894790070003
-740,0.012744338921985367
-730,0.014877613261065374
-720,0.01696348150372138
-710,0.01961032188739472
-700,0.023015659813852063
-690,0.02669753330278274
-680,0.031564559202313415
-670,0.03684243793751876
-660,0.04231784207449078
-650,0.04798287059715879
-640,0.05296841173774947
-630,0.056231531374934814
-620,0.057653714267654824
-610,0.05749569394624149
-600,0.057827536621209485
-590,0.058720351437194826
-580,0.060869427808416164
-570,0.06719024066494951
-560,0.0667161797007095
-550,0.05211510200211747
-540,0.029383878766809413
-530,0.012744338921985367
-520,0.004306053758513345
-510,0.0010824392016813363
-500,3.5554572318000093E-4
-490,1.5802032141333375E-4
-480,5.530711249466681E-5
-470,6.32081285653335E-5
-460,5.530711249466681E-5
-450,2.3703048212000063E-5
-440,1.5802032141333376E-5
-430,3.950508035333344E-5
-420,7.901016070666688E-6
-410,3.160406428266675E-5
-400,3.950508035333344E-5
-390,4.7406096424000125E-5
-380,3.160406428266675E-5
-370,1.5802032141333376E-5
-360,2.3703048212000063E-5
-350,1.5802032141333376E-5
-340,7.901016070666688E-6
-330,7.901016070666688E-6
