cal BP,Posterior probability
-60,7.901016070666688E-6
-50,0.0
-40,0.0
-30,7.901016070666688E-6
-20,0.0
-10,0.0
0,0.0
10,1.5802032141333376E-5
20,0.0
30,0.0
40,7.901016070666688E-6
50,1.5802032141333376E-5
60,3.950508035333344E-5
70,7.901016070666688E-5
80,1.8172336962533382E-4
90,3.79248771392001E-4
100,5.530711249466682E-4
110,8.928148159853357E-4
120,0.0012246574909533367
130,0.001817233696253338
140,0.0027179495283093406
150,0.004029518196040011
160,0.0051830665423573475
170,0.006407724033310684
180,0.008177551633140021
190,0.009718249766920026
200,0.010697975759682695
210,0.01156708752745603
220,0.013376420207638703
230,0.015083039678902706
240,0.017808890223282713
250,0.021095712908680057
260,0.02687925667240807
270,0.032718107548630755
280,0.04001864639792677
290,0.04423778897966278
300,0.04808558380607746
310,0.05026626424158147
320,0.04938925145773747
330,0.05013194696838014
340,0.047872256372169464
350,0.04837002038462146
360,0.04596021048306812
370,0.04386644122434145
380,0.04084035206927611
390,0.03670021964824677
400,0.033247475625365425
410,0.02984213769890808
420,0.024556357947632064
430,0.022818134412085394
440,0.019523410710617386
450,0.017477047548314712
460,0.014443057377178705
470,0.012704833841632034
480,0.011314255013194698
490,0.01023181581151336
500,0.008580503452744023
510,0.0071267164957413524
520,0.0063287138726040165
530,0.0059099600208586825
540,0.004977640124520013
550,0.004266548678160011
560,0.0040058151478280105
570,0.0031999115086200087
580,0.003065594235418675
590,0.00257573123903734
600,0.0022359875479986725
610,0.002149076371221339
620,0.001817233696253338
630,0.001572302198062671
640,0.0013510737480840035
650,0.0010508351373986694
660,0.0011061422498933363
670,0.0010508351373986694
680,8.84913799914669E-4
690,7.58497542784002E-4
700,5.688731570880015E-4
710,5.530711249466682E-4
720,4.7406096424000126E-4
730,3.397436910386676E-4
740,2.52832514261334E-4
750,2.054264178373339E-4
760,2.1332743390800057E-4
770,1.7382235355466714E-4
780,1.343172732013337E-4
790,1.1851524106000032E-4
800,4.7406096424000125E-5
810,5.530711249466681E-5
820,9.481219284800025E-5
830,4.7406096424000125E-5
840,3.950508035333344E-5
850,7.901016070666688E-6
860,2.3703048212000063E-5
870,7.901016070666688E-6
880,1.5802032141333376E-5
890,1.5802032141333376E-5
900,7.901016070666688E-6
910,0.0
920,0.0
930,0.0
940,7.901016070666688E-6
