cal BP,Posterior probability
-430,7.629336324033172E-6
-420,1.5258672648066345E-5
-410,3.8146681620165865E-5
-400,6.866402691629855E-5
-390,1.2969871750856393E-4
-380,1.4495739015663028E-4
-370,2.1362141707292884E-4
-360,2.21250753396962E-4
-350,2.8991478031326057E-4
-340,3.814668162016586E-4
-330,3.814668162016586E-4
-320,5.645708879784548E-4
-310,6.484935875428196E-4
-300,9.918137221243124E-4
-290,0.002578715677523212
-280,0.010932838952339536
-270,0.04209867783601504
-260,0.10059279943237738
-250,0.14081466053268027
-240,0.14311109076621426
-230,0.13358967903382085
-220,0.12221433857468739
-210,0.10367505130728678
-200,0.07691133948257842
-190,0.05307729280629878
-180,0.03330968239072883
-170,0.018310407177679615
-160,0.008987358189711078
-150,0.0037841508167204534
-140,0.0013427631930298383
-130,4.653895157660235E-4
-120,7.629336324033173E-5
-110,3.051734529613269E-5
